dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,200,200,1.0,0.5906723484848485,0.9165698855390316,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,200,200,1.0,0.5381155303030303,0.8897566199549746,
webshop,gemma3,webshop-gemma3,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,200,200,1.0,0.6084280303030302,0.9090101068027744,
webshop,gemma3,webshop-gemma3,101,CoCoA-PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.626657196969697,0.9132089730591052,
webshop,gemma3,webshop-gemma3,101,Degree,2,strict_z8_n4_prefix,200,200,1.0,0.5698390151515151,0.901982456441832,
webshop,gemma3,webshop-gemma3,101,EigV,2,complete_z16_ordered_prefix,200,200,1.0,0.583688446969697,0.8978700150859243,
webshop,gemma3,webshop-gemma3,101,KLE,2,complete_z16_ordered_prefix,200,200,1.0,0.4990530303030303,0.8798011363636363,
webshop,gemma3,webshop-gemma3,101,LS,2,complete_z16_ordered_prefix,200,200,1.0,0.4795217803030304,0.8930739910230987,
webshop,gemma3,webshop-gemma3,101,MC-OE,2,complete_z16_ordered_prefix,200,200,1.0,0.5606060606060607,0.8932231404958677,
webshop,gemma3,webshop-gemma3,101,PE,2,complete_z16_ordered_prefix,200,200,1.0,0.5449810606060606,0.8778959293101058,
webshop,gemma3,webshop-gemma3,101,PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.5253314393939394,0.8757260879196096,
webshop,gemma3,webshop-gemma3,101,SD,2,complete_z16_ordered_prefix,200,200,1.0,0.4669744318181819,0.8768330000337117,
webshop,gemma3,webshop-gemma3,101,SE,2,complete_z16_ordered_prefix,200,200,1.0,0.5177556818181819,0.8885429010146906,
webshop,gemma3,webshop-gemma3,101,SNNE,2,complete_z16_ordered_prefix,200,200,1.0,0.5078125000000001,0.8828925619834711,
webshop,gemma3,webshop-gemma3,101,SentSAR,2,complete_z16_ordered_prefix,200,200,1.0,0.5475852272727273,0.8751686294987893,
webshop,gemma3,webshop-gemma3,101,UProp,2,strict_z8_n4_prefix,200,200,1.0,0.5414299242424242,0.9019886066247268,
webshop,gptoss20b,webshop-gptoss20b,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,200,200,1.0,0.4408221119773211,0.8104005610346728,
webshop,gptoss20b,webshop-gptoss20b,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,200,200,1.0,0.5083274273564847,0.8375517700153237,
webshop,gptoss20b,webshop-gptoss20b,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,200,200,1.0,0.5275513819985825,0.8514479340408476,
webshop,gptoss20b,webshop-gptoss20b,101,CoCoA-PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.5308291991495393,0.8623920865812273,
webshop,gptoss20b,webshop-gptoss20b,101,Degree,2,strict_z8_n4_prefix,200,200,1.0,0.6461729270021261,0.8961977797824227,
webshop,gptoss20b,webshop-gptoss20b,101,EigV,2,complete_z16_ordered_prefix,200,200,1.0,0.5071757618710134,0.8427786671160166,
webshop,gptoss20b,webshop-gptoss20b,101,KLE,2,complete_z16_ordered_prefix,200,200,1.0,0.5331325301204819,0.8412650602409638,
webshop,gptoss20b,webshop-gptoss20b,101,LS,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.83,
webshop,gptoss20b,webshop-gptoss20b,101,MC-OE,2,complete_z16_ordered_prefix,200,200,1.0,0.5017717930545712,0.8305004633920297,
webshop,gptoss20b,webshop-gptoss20b,101,PE,2,complete_z16_ordered_prefix,200,200,1.0,0.5699858256555634,0.8281742518233988,
webshop,gptoss20b,webshop-gptoss20b,101,PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.4909638554216868,0.815572984010733,
webshop,gptoss20b,webshop-gptoss20b,101,SD,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.83,
webshop,gptoss20b,webshop-gptoss20b,101,SE,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.83,
webshop,gptoss20b,webshop-gptoss20b,101,SNNE,2,complete_z16_ordered_prefix,200,200,1.0,0.5098334514528703,0.8350301204819276,
webshop,gptoss20b,webshop-gptoss20b,101,SentSAR,2,complete_z16_ordered_prefix,200,200,1.0,0.5699858256555634,0.8281742518233988,
webshop,gptoss20b,webshop-gptoss20b,101,UProp,2,strict_z8_n4_prefix,200,200,1.0,0.6367824238128986,0.8883380364848169,
