dataset,backbone,evaluated_tasks_per_cell,successes_seed101,successes_seed202,successes_seed303,success_rate_seed101_pct,success_rate_seed202_pct,success_rate_seed303_pct,success_rate_mean_pct,success_rate_sample_sd_pct
dbbench,qwen35,300,191,184,187,63.666667,61.333333,62.333333,62.444444,1.170628
dbbench,gemma3,300,108,111,112,36.000000,37.000000,37.333333,36.777778,0.693889
dbbench,gptoss20b,300,179,185,178,59.666667,61.666667,59.333333,60.222222,1.261980
hotpotqa,qwen35,1000,570,573,589,57.000000,57.300000,58.900000,57.733333,1.021437
hotpotqa,gemma3,1000,541,538,539,54.100000,53.800000,53.900000,53.933333,0.152753
hotpotqa,gptoss20b,1000,609,612,605,60.900000,61.200000,60.500000,60.866667,0.351188
webshop,qwen35,200,36,42,36,18.000000,21.000000,18.000000,19.000000,1.732051
webshop,gemma3,200,24,21,22,12.000000,10.500000,11.000000,11.166667,0.763763
webshop,gptoss20b,200,34,32,32,17.000000,16.000000,16.000000,16.333333,0.577350
strategyqa,qwen35,687,615,611,611,89.519651,88.937409,88.937409,89.131490,0.336157
strategyqa,gemma3,687,641,643,643,93.304221,93.595342,93.595342,93.498302,0.168079
strategyqa,gptoss20b,687,646,646,649,94.032023,94.032023,94.468705,94.177584,0.252118
