method,budget,auroc,aupr,mean_trajectories,trajectory_saving,mean_agent_steps,agent_step_saving,mean_output_tokens,output_token_saving,mean_environment_observations,environment_observation_saving,token_metadata_coverage,tasks,wall_clock_status
BayesTraj-Fixed,3,0.7047795796993501,0.6092829489750667,3.0,0.0,7.5696794187877865,0.0,1243.2930955647005,0.0,4.674744703551288,0.0,0.9999865766406701,19683,not recorded in cached artifacts
BayesTraj-Adaptive,3,0.6932471382814266,0.5989522348948066,2.4048163389727177,0.19839455367576075,6.290199664685262,0.16902694068217516,1053.6472082507748,0.15253514074071894,3.9791190367322056,0.14880506015454342,0.9999838462159761,19683,not recorded in cached artifacts
BayesTraj-Fixed,4,0.7191317841103351,0.6236308250091321,4.0,0.0,10.089264847838235,0.0,1655.4513539602704,0.0,6.229080932784637,0.0,0.9999899288473062,19683,not recorded in cached artifacts
BayesTraj-Adaptive,4,0.7073890069625047,0.6146951083711972,3.204033937915968,0.19899151552100802,8.40801707056851,0.16663729247130976,1412.01112635269,0.14705368842473554,5.328049585937103,0.1446491635877234,0.9999879150427505,19683,not recorded in cached artifacts
BayesTraj-Fixed,6,0.7271140310571501,0.6343012455582128,6.0,0.0,15.075801453030534,0.0,2468.336026012295,0.0,9.287659401513997,0.0,0.9999898900373058,19683,not recorded in cached artifacts
BayesTraj-Adaptive,6,0.7223979001910403,0.6299892279213799,4.802367525275619,0.1996054124540636,12.493623939440125,0.17127961797820968,2091.0098562211047,0.15286661370849797,7.874612609866382,0.15214239999124768,0.9999918670093366,19683,not recorded in cached artifacts
BayesTraj-Fixed,8,0.7346814469380092,0.6392238872179494,8.0,0.0,20.131026774373826,0.0,3301.579383224102,0.0,12.415942691662856,0.0,0.9999873813531732,19683,not recorded in cached artifacts
BayesTraj-Adaptive,8,0.7277975299875442,0.6300376232763674,6.406340496875476,0.1992074378905655,16.676573693034598,0.1715984544681367,2793.350048265,0.15393521583685166,10.518315297464817,0.15283796336079025,0.9999878139804109,19683,not recorded in cached artifacts
BayesTraj-Fixed,12,0.7397013442227501,0.6405230133118092,12.0,0.0,30.275567748818776,0.0,4957.285119138342,0.0,18.700553777371336,0.0,0.9999815409606084,19683,not recorded in cached artifacts
BayesTraj-Adaptive,12,0.7363352631366128,0.6385223325847872,9.60631001371742,0.19947416552354824,24.826804856983184,0.1799722778790228,4131.660722450846,0.1665476923044128,15.582126708326983,0.16675586756247907,0.9999877216749272,19683,not recorded in cached artifacts
BayesTraj-Fixed,16,0.7403731473381644,0.6452544527271503,16.0,0.0,40.40745821267083,0.0,6608.064421074023,0.0,24.975816694609563,0.0,0.9999811401413232,19683,not recorded in cached artifacts
BayesTraj-Adaptive,16,0.7398313490337876,0.6411170088149483,12.805720672661687,0.19964245795864455,32.630188487527306,0.19247114441622448,5371.726667682772,0.18709529366093958,20.285119138342733,0.18780957650442742,0.9999813159779528,19683,not recorded in cached artifacts
