setting,rho,window,dataset,backbone,seed,cell,delta_auroc,delta_aupr,saving,mean_trajectories
rho70_w2,0.7,2,dbbench,gemma3,101,dbbench-gemma3-seed101,-0.003946437757201641,-0.0006984137828486466,0.23837962962962964,6.524444444444445
rho70_w2,0.7,2,dbbench,gemma3,202,dbbench-gemma3-seed202,0.0005481672148338982,0.0006185710232959699,0.23923611111111112,6.520555555555556
rho70_w2,0.7,2,dbbench,gemma3,303,dbbench-gemma3-seed303,0.0006490628166160121,0.0012359135762734508,0.2392361111111111,6.521111111111111
rho70_w2,0.7,2,dbbench,gptoss20b,101,dbbench-gptoss20b-seed101,-0.018460378287701806,-0.026016393546419086,0.24015046296296297,6.517777777777778
rho70_w2,0.7,2,dbbench,gptoss20b,202,dbbench-gptoss20b-seed202,-0.020806893850372137,-0.016834411363057262,0.23938657407407404,6.519444444444445
rho70_w2,0.7,2,dbbench,gptoss20b,303,dbbench-gptoss20b-seed303,-0.028396880947995345,-0.031201935337858328,0.23958333333333334,6.520555555555556
rho70_w2,0.7,2,dbbench,qwen35,101,dbbench-qwen35-seed101,0.0032902637014265803,0.004272562656966544,0.23886574074074077,6.523333333333333
rho70_w2,0.7,2,dbbench,qwen35,202,dbbench-qwen35-seed202,-0.0061453648175912035,-0.006079587344913151,0.2391319444444445,6.522222222222222
rho70_w2,0.7,2,dbbench,qwen35,303,dbbench-qwen35-seed303,-0.0014433770290095775,-0.0053488850563900665,0.23946759259259257,6.521111111111111
rho70_w2,0.7,2,hotpotqa,gemma3,101,hotpotqa-gemma3-seed101,-0.010130786072216272,-0.007487298580439654,0.23987152777777773,6.5183333333333335
rho70_w2,0.7,2,hotpotqa,gemma3,202,hotpotqa-gemma3-seed202,-0.0154867850035136,-0.016690261624228615,0.23957291666666666,6.519666666666667
rho70_w2,0.7,2,hotpotqa,gemma3,303,hotpotqa-gemma3-seed303,-0.010565614532146883,-0.010988998881344211,0.23979166666666665,6.518833333333333
rho70_w2,0.7,2,hotpotqa,gptoss20b,101,hotpotqa-gptoss20b-seed101,-0.009512750627487354,-0.01609203995276866,0.23992013888888888,6.517833333333333
rho70_w2,0.7,2,hotpotqa,gptoss20b,202,hotpotqa-gptoss20b-seed202,-0.013722542281517444,-0.018425475985456057,0.24030902777777782,6.517333333333333
rho70_w2,0.7,2,hotpotqa,gptoss20b,303,hotpotqa-gptoss20b-seed303,-0.00830142623007979,-0.01595463414242591,0.24034375,6.5168333333333335
rho70_w2,0.7,2,hotpotqa,qwen35,101,hotpotqa-qwen35-seed101,-0.012700938392492792,-0.015344541384449703,0.23977083333333335,6.518833333333333
rho70_w2,0.7,2,hotpotqa,qwen35,202,hotpotqa-qwen35-seed202,-0.011035226896526381,-0.011724802095008943,0.23951041666666664,6.519666666666667
rho70_w2,0.7,2,hotpotqa,qwen35,303,hotpotqa-qwen35-seed303,-0.0109399548632196,-0.012447087852940908,0.23965972222222223,6.519666666666667
rho70_w2,0.7,2,strategyqa,gemma3,101,strategyqa-gemma3-seed101,-0.01536887562459018,-0.007551796729662659,0.24068009057092024,6.515526443474042
rho70_w2,0.7,2,strategyqa,gemma3,202,strategyqa-gemma3-seed202,-0.018521136717093156,-0.011361492082162833,0.240811499272198,6.515041242115477
rho70_w2,0.7,2,strategyqa,gemma3,303,strategyqa-gemma3-seed303,-0.017861350676280714,-0.005730171248606132,0.2398309881934336,6.51916545366327
rho70_w2,0.7,2,strategyqa,gptoss20b,101,strategyqa-gptoss20b-seed101,-0.021438999219713595,-0.017736522581964925,0.24062449458191817,6.516011644832605
rho70_w2,0.7,2,strategyqa,gptoss20b,202,strategyqa-gptoss20b-seed202,-0.006827506355558881,-0.0035926718353255596,0.2393710577389617,6.520863658418243
rho70_w2,0.7,2,strategyqa,gptoss20b,303,strategyqa-gptoss20b-seed303,-0.011731949287703103,-0.006643695908295273,0.24049308588064053,6.516254245511887
rho70_w2,0.7,2,strategyqa,qwen35,101,strategyqa-qwen35-seed101,-0.0058679614573923415,-0.011301954956022228,0.24101872068575128,6.51407083939835
rho70_w2,0.7,2,strategyqa,qwen35,202,strategyqa-qwen35-seed202,-0.01567749160134378,-0.013270505704140123,0.24027070192463207,6.516982047549733
rho70_w2,0.7,2,strategyqa,qwen35,303,strategyqa-qwen35-seed303,-0.00650357481264537,-0.005112161395516263,0.23950752062105773,6.520135856380398
rho70_w2,0.7,2,webshop,gemma3,101,webshop-gemma3-seed101,-0.007102272727272725,-0.0008168843010529966,0.23736111111111113,6.5325
rho70_w2,0.7,2,webshop,gemma3,202,webshop-gemma3-seed202,0.014764565043894654,0.002553816670355221,0.23875000000000002,6.5249999999999995
rho70_w2,0.7,2,webshop,gemma3,303,webshop-gemma3-seed303,0.0024259448416751686,0.0012306823363485615,0.24001736111111108,6.5200000000000005
rho70_w2,0.7,2,webshop,gptoss20b,101,webshop-gptoss20b-seed101,-0.0006496574533427779,-0.0013160744054171818,0.2388888888888889,6.5225
rho70_w2,0.7,2,webshop,gptoss20b,202,webshop-gptoss20b-seed202,-6.200396825393566e-05,-0.0002828116975015689,0.23866319444444442,6.5249999999999995
rho70_w2,0.7,2,webshop,gptoss20b,303,webshop-gptoss20b-seed303,0.0241195436507937,0.007396468319471365,0.23739583333333333,6.5325
rho70_w2,0.7,2,webshop,qwen35,101,webshop-qwen35-seed101,-0.007113821138211333,-0.0016359268191546983,0.23817708333333334,6.528333333333333
rho70_w2,0.7,2,webshop,qwen35,202,webshop-qwen35-seed202,-0.003390596745027119,-0.003979746184610389,0.23836805555555554,6.528333333333333
