dataset,backbone,seed,budget,count_mse,fused_mse,coverage95,mean_variance
dbbench,gemma3,101,3,0.20063326594378506,0.19836764993212908,0.8066666666666666,0.04430975021259373
dbbench,gemma3,101,4,0.1449006988695385,0.14442456765429934,0.8033333333333333,0.03989811930518822
dbbench,gemma3,101,6,0.08500074974710978,0.08672612680123695,0.8366666666666667,0.03366009111142094
dbbench,gemma3,101,8,0.058519956074210205,0.060580880341163545,0.8866666666666667,0.029171865672203385
dbbench,gemma3,101,12,0.025471757122973605,0.026937890949835546,0.9666666666666667,0.022947243780720387
dbbench,gemma3,101,16,0.011225204476002061,0.012026584031184874,0.9966666666666667,0.018806852040701035
dbbench,gemma3,202,3,0.1900605800547713,0.1850682281313649,0.8066666666666666,0.04455654092237212
dbbench,gemma3,202,4,0.14172334730732442,0.13907427324963398,0.8066666666666666,0.039872446249282906
dbbench,gemma3,202,6,0.08229158598401513,0.08158348283717902,0.8533333333333334,0.03375021198414252
dbbench,gemma3,202,8,0.051101281007217454,0.05171253326157321,0.9066666666666666,0.02897127097133742
dbbench,gemma3,202,12,0.02404260828493569,0.025251979568640517,0.9633333333333334,0.022877584941188044
dbbench,gemma3,202,16,0.011245023307497024,0.012177544436265026,1.0,0.019203161251206285
dbbench,gemma3,303,3,0.1976454116860317,0.19379463508039332,0.7766666666666666,0.0440049182990608
dbbench,gemma3,303,4,0.1540761481139416,0.15227024268097233,0.8,0.03975293819250038
dbbench,gemma3,303,6,0.08276103105349271,0.0829557027807945,0.8533333333333334,0.033315249805419174
dbbench,gemma3,303,8,0.05215348525730922,0.05299837067604525,0.8933333333333333,0.02847295332037382
dbbench,gemma3,303,12,0.023956559986033372,0.02486186461349227,0.9566666666666667,0.02248656819979015
dbbench,gemma3,303,16,0.01110225338474913,0.011854325482548922,0.9966666666666667,0.01915322471623387
dbbench,gptoss20b,101,3,0.2904401221121983,0.2855066666192499,0.71,0.044334763608930274
dbbench,gptoss20b,101,4,0.23050575664754244,0.22576979819196996,0.7133333333333334,0.03978529510793381
dbbench,gptoss20b,101,6,0.14422791336927315,0.14428038192676004,0.74,0.035204187237613864
dbbench,gptoss20b,101,8,0.08878271401146591,0.08972331510412648,0.8266666666666667,0.03176355296537289
dbbench,gptoss20b,101,12,0.03477353809547149,0.03642209560572764,0.93,0.026801532605376318
dbbench,gptoss20b,101,16,0.012866829021298,0.013561738433483562,0.9866666666666667,0.023703062434448193
dbbench,gptoss20b,202,3,0.2749044284051661,0.26973828102457004,0.6966666666666667,0.043627069824413126
dbbench,gptoss20b,202,4,0.20788079974387083,0.20419043934574796,0.7166666666666667,0.03911935164819433
dbbench,gptoss20b,202,6,0.11874774813842931,0.1178738823220935,0.78,0.034022091261788324
dbbench,gptoss20b,202,8,0.07107914090987179,0.07183784082807537,0.8466666666666667,0.030309949240368284
dbbench,gptoss20b,202,12,0.029478098739726708,0.03013720160434275,0.95,0.02603713700854653
dbbench,gptoss20b,202,16,0.011882383915693392,0.012410473291741709,0.9933333333333333,0.022576910488415435
