dataset,budget,count_mse,fused_mse,coverage95,mean_variance
dbbench,3,0.234194326707867,0.22906498397909786,0.7537037037037037,0.043989968148939976
dbbench,4,0.17685672437777314,0.1735534025212104,0.7681481481481481,0.0396634695068925
dbbench,6,0.10437249764392938,0.10403810208012386,0.8051851851851852,0.0338533200224673
dbbench,8,0.06561903667467774,0.06628890145864033,0.867037037037037,0.029926452286838236
dbbench,12,0.02820970946663918,0.029217609028785514,0.9525925925925927,0.02461597734161342
dbbench,16,0.011708826204186782,0.012415864017752394,0.9944444444444444,0.021213977801189523
hotpotqa,3,0.30166174587499506,0.29611272590127674,0.6547777777777778,0.04301688257875673
hotpotqa,4,0.22184368452709455,0.21782722531059903,0.6767777777777778,0.0388747548472759
hotpotqa,6,0.1268082889034068,0.12478045525631692,0.7646666666666666,0.0334592677709759
hotpotqa,8,0.07865822999639188,0.07754952419472522,0.8297777777777777,0.030093294225286657
hotpotqa,12,0.030785136009582936,0.030791463880429155,0.9344444444444444,0.025762568267246197
hotpotqa,16,0.011056013772088301,0.01134722608869027,0.9924444444444445,0.022943806966439138
strategyqa,3,0.07419378505168012,0.0569719184037503,0.9294840692220604,0.03884873445341964
strategyqa,4,0.06072354607563249,0.04731191596099879,0.9419375707585316,0.03498068642692233
strategyqa,6,0.04290854202503972,0.03480003512140213,0.9613456251010837,0.02851370249839837
strategyqa,8,0.031709480037372395,0.026960257763567478,0.97024098334142,0.02403312437671725
strategyqa,12,0.019600284295991716,0.017858267696809607,0.9817240821607633,0.018247969703661895
strategyqa,16,0.012344209926680264,0.011988278509672112,0.9914281093320394,0.014539708131659609
webshop,3,0.12137456015351804,0.10049519257286385,0.8366666666666667,0.02393867075057136
webshop,4,0.09830877751632745,0.08334382068618229,0.8438888888888889,0.020859670005954626
webshop,6,0.0466736098468685,0.04434512952131791,0.8894444444444445,0.016705795132965162
webshop,8,0.028731617344759763,0.029801383040016394,0.9138888888888889,0.014222423311857675
webshop,12,0.012383720922306036,0.015331424141747822,0.9672222222222222,0.011737239292190465
webshop,16,0.004819730721760134,0.007773442193750122,0.995,0.009977610319026393
