dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories,webshop_bucket_variant
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Adaptive,3,complete_z16_ordered_prefix,200,200,1.0,0.5482954545454546,0.8923740090673342,3.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Adaptive,4,complete_z16_ordered_prefix,200,200,1.0,0.5558712121212122,0.8935040884391061,4.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Adaptive,6,complete_z16_ordered_prefix,200,200,1.0,0.6321022727272727,0.9336382445414144,6.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Adaptive,8,complete_z16_ordered_prefix,200,200,1.0,0.6202651515151515,0.932177235349766,8.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Adaptive,12,complete_z16_ordered_prefix,200,200,1.0,0.5537405303030303,0.90729480126237,12.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Adaptive,16,complete_z16_ordered_prefix,200,200,1.0,0.5544507575757576,0.9043202241847023,16.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Fixed,3,complete_z16_ordered_prefix,200,200,1.0,0.5883049242424242,0.9180159754560023,3.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Fixed,4,complete_z16_ordered_prefix,200,200,1.0,0.6271306818181818,0.9336480420840836,4.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Fixed,6,complete_z16_ordered_prefix,200,200,1.0,0.6062973484848484,0.9214104504045004,6.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Fixed,8,complete_z16_ordered_prefix,200,200,1.0,0.5532670454545455,0.9057426808546147,8.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Fixed,12,complete_z16_ordered_prefix,200,200,1.0,0.5473484848484849,0.9059912786860207,12.0,
webshop,gemma3,webshop-gemma3,101,BSE-Ciosek-Fixed,16,complete_z16_ordered_prefix,200,200,1.0,0.5544507575757576,0.9043202241847023,16.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-MaxProb,3,complete_z16_ordered_prefix,200,200,1.0,0.6138731060606061,0.9137231766951428,3.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-MaxProb,4,complete_z16_ordered_prefix,200,200,1.0,0.6190814393939393,0.9176957744053886,4.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-MaxProb,6,complete_z16_ordered_prefix,200,200,1.0,0.6304450757575758,0.922635451017267,6.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-MaxProb,8,complete_z16_ordered_prefix,200,200,1.0,0.6472537878787877,0.928557863289918,8.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-MaxProb,12,complete_z16_ordered_prefix,200,200,1.0,0.6616950757575756,0.9330773929434992,12.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-MaxProb,16,complete_z16_ordered_prefix,200,200,1.0,0.6709280303030302,0.9363913734005516,16.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-PPL,3,complete_z16_ordered_prefix,200,200,1.0,0.6309185606060606,0.9167968185766058,3.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-PPL,4,complete_z16_ordered_prefix,200,200,1.0,0.6370738636363638,0.9205370812343759,4.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-PPL,6,complete_z16_ordered_prefix,200,200,1.0,0.6541193181818181,0.9261818998432068,6.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-PPL,8,complete_z16_ordered_prefix,200,200,1.0,0.6709280303030302,0.9311243128886479,8.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-PPL,12,complete_z16_ordered_prefix,200,200,1.0,0.6834753787878788,0.9358583052256796,12.0,
webshop,gemma3,webshop-gemma3,101,CoCoA-PPL,16,complete_z16_ordered_prefix,200,200,1.0,0.6934185606060604,0.9390725778232256,16.0,
webshop,gemma3,webshop-gemma3,101,Degree,3,strict_z8_n4_prefix,200,200,1.0,0.5845170454545454,0.9066038851662093,3.0,
webshop,gemma3,webshop-gemma3,101,Degree,4,strict_z8_n4_prefix,200,200,1.0,0.5915009469696969,0.9116634429855864,4.0,
webshop,gemma3,webshop-gemma3,101,Degree,6,strict_z8_n4_prefix,200,200,1.0,0.5939867424242424,0.9128796174243606,6.0,
webshop,gemma3,webshop-gemma3,101,Degree,8,strict_z8_n4_prefix,200,200,1.0,0.5861742424242424,0.9152892007353629,8.0,
webshop,gemma3,webshop-gemma3,101,EigV,3,complete_z16_ordered_prefix,200,200,1.0,0.5661695075757576,0.8972751304974734,3.0,
webshop,gemma3,webshop-gemma3,101,EigV,4,complete_z16_ordered_prefix,200,200,1.0,0.5516098484848485,0.8920469966644484,4.0,
webshop,gemma3,webshop-gemma3,101,EigV,6,complete_z16_ordered_prefix,200,200,1.0,0.5552793560606061,0.8984297525533275,6.0,
webshop,gemma3,webshop-gemma3,101,EigV,8,complete_z16_ordered_prefix,200,200,1.0,0.5949337121212122,0.9087522435968841,8.0,
webshop,gemma3,webshop-gemma3,101,EigV,12,complete_z16_ordered_prefix,200,200,1.0,0.5946969696969696,0.913398427569021,12.0,
webshop,gemma3,webshop-gemma3,101,EigV,16,complete_z16_ordered_prefix,200,200,1.0,0.626657196969697,0.919025638513896,16.0,
webshop,gemma3,webshop-gemma3,101,KLE,3,complete_z16_ordered_prefix,200,200,1.0,0.5075757575757577,0.8816528925619835,3.0,
webshop,gemma3,webshop-gemma3,101,KLE,4,complete_z16_ordered_prefix,200,200,1.0,0.5134943181818182,0.8838111888111888,4.0,
webshop,gemma3,webshop-gemma3,101,KLE,6,complete_z16_ordered_prefix,200,200,1.0,0.5382339015151516,0.8893401342975207,6.0,
webshop,gemma3,webshop-gemma3,101,KLE,8,complete_z16_ordered_prefix,200,200,1.0,0.5525568181818181,0.8929528676228209,8.0,
webshop,gemma3,webshop-gemma3,101,KLE,12,complete_z16_ordered_prefix,200,200,1.0,0.5723248106060607,0.8981459746957235,12.0,
webshop,gemma3,webshop-gemma3,101,KLE,16,complete_z16_ordered_prefix,200,200,1.0,0.5857007575757576,0.9003448850332686,16.0,
webshop,gemma3,webshop-gemma3,101,LS,3,complete_z16_ordered_prefix,200,200,1.0,0.47786458333333337,0.8891443363054974,3.0,
