setting,rho,window,delta_auroc,delta_aupr,saving,mean_trajectories,delta_auroc_ci_low,delta_auroc_ci_high,delta_aupr_ci_low,delta_aupr_ci_high
rho70_w2,0.7,2,-0.00799141608881403,-0.008044222683159161,0.23948699362723952,6.520808527413877,-0.012814821032602761,-0.002704889805734643,-0.012792288599945911,-0.003739169495454031
rho70_w4,0.7,4,-0.009304546614632758,-0.010500947212121223,0.29088707766703503,5.854209317213866,-0.01568573966912626,-0.0027304241142914057,-0.01684077715142056,-0.00445979458753964
rho70_w6,0.7,6,-0.009870097783421818,-0.011370582557498236,0.29918714803246366,5.721719027979946,-0.016199281645988273,-0.0029883414274886667,-0.018235424039459765,-0.0047561639178832155
rho70_wall,0.7,all,-0.010122972298098082,-0.012792832350431955,0.29932536457490966,5.719850463636854,-0.016796869047746774,-0.0032092973336990674,-0.020777197814831453,-0.005144542467322174
rho75_w2,0.75,2,-0.006576644734009061,-0.006134152676292617,0.21453482302505075,6.6290725106474735,-0.010549890500546097,-0.002257982499222975,-0.010218284301192943,-0.0024892319933837825
rho75_w4,0.75,4,-0.008044423149383303,-0.009041617207039276,0.24916459346977377,6.129664415871476,-0.01297484645531111,-0.002800795165005186,-0.014747039894894716,-0.0037352470322584985
rho75_w6,0.75,6,-0.00816828099758733,-0.00944489026884892,0.2491513548854835,6.129797987762143,-0.013370281025955296,-0.002543602864779987,-0.01575026254852199,-0.0036753649030828233
rho75_wall,0.75,all,-0.00810017272931494,-0.010148025360559679,0.2491145618530649,6.130550413768935,-0.013365111797706115,-0.0023948184314280412,-0.017074455007729812,-0.0036764897458369684
rho80_w2,0.8,2,-0.005032800208737445,-0.004358893552826307,0.18099346354026274,6.805347848940644,-0.008218821113165598,-0.0016540475591064541,-0.007549741542828817,-0.0013919565532661059
rho80_w4,0.8,4,-0.006021806302898491,-0.006320457546383624,0.19899628587906806,6.539643329829101,-0.009936153260860857,-0.0017851517259262072,-0.010744700771109488,-0.0022906433184555694
rho80_w6,0.8,6,-0.006070989143639734,-0.006443816687065341,0.19900552267530144,6.539940313493989,-0.010113928186682495,-0.0017901331464159171,-0.011240633514085078,-0.002167732601549667
rho80_wall,0.8,all,-0.006162976092939173,-0.006714849377678846,0.19911041924991466,6.538343192355383,-0.01027408098946552,-0.0017202795473763067,-0.012039444760506704,-0.0020405340077797075
rho85_w2,0.85,2,-0.003613208156248261,-0.003232242133776673,0.1451908596263051,7.012313871367727,-0.006544357154644553,-0.0003109790635938323,-0.005949605393390852,-0.0007943771686172994
rho85_w4,0.85,4,-0.003938039274295211,-0.004457323906067566,0.14944784043277268,6.944698427138929,-0.0071814499956154585,-0.0003541055043574532,-0.00805232277435714,-0.0013194253406240062
rho85_w6,0.85,6,-0.003997465256372491,-0.0044552183634979856,0.14951162559863962,6.94406951857243,-0.00730125640896762,-0.0003397879212013254,-0.008222268107538063,-0.0011886776235772237
rho85_wall,0.85,all,-0.003979463735171742,-0.004755082098921185,0.14955643849286573,6.94337301876112,-0.007235339477867622,-0.0004995717643325124,-0.00899519421113512,-0.0013333964871241352
rho90_w2,0.9,2,-0.0023178991631456628,-0.002475579786848013,0.09963634803987638,7.352499130680901,-0.004587151849083594,0.00019662899354883315,-0.0051256571842310744,-0.0002676909143346289
rho90_w4,0.9,4,-0.0024137954475289625,-0.002862747470105937,0.09960947889149459,7.353319370316459,-0.00495088376667368,0.0003937426708895261,-0.006140715784656341,-0.0001278605524546789
rho90_w6,0.9,6,-0.002509160625207259,-0.0029747868021055136,0.09961432907995939,7.353185872553776,-0.005156469165146521,0.00018840076829026078,-0.006398423477692221,-0.0001967273890644251
rho90_wall,0.9,all,-0.002532518040645516,-0.0031241745206321897,0.09961850972985965,7.353141941614102,-0.005154197983304159,0.0002551139472152554,-0.006727965637681054,-0.00014897861117997834
