dataset,backbone,trajectories,mean_steps,sample_sd_steps,median_steps,min_steps,max_steps,seed101_mean_steps,seed202_mean_steps,seed303_mean_steps
dbbench,qwen35,14400,4.757708333,3.812699731,3,1,15,4.776041667,4.772708333,4.724375000
dbbench,gemma3,14400,3.565486111,2.644402362,3,1,15,3.544375000,3.516250000,3.635833333
dbbench,gptoss20b,14400,2.391458333,0.981541899,2,1,15,2.373541667,2.421875000,2.378958333
hotpotqa,qwen35,48000,2.945208333,1.674568987,3,1,6,2.908187500,2.951562500,2.975875000
hotpotqa,gemma3,48000,2.245854167,0.996668078,2,1,6,2.243187500,2.235937500,2.258437500
hotpotqa,gptoss20b,48000,1.446895833,0.880381221,1,1,6,1.441500000,1.441750000,1.457437500
webshop,qwen35,9600,10.263229167,7.081931040,7,3,20,10.290312500,10.089062500,10.410312500
webshop,gemma3,9600,4.655104167,2.949607143,3,3,20,4.711250000,4.591562500,4.662500000
webshop,gptoss20b,9600,5.676562500,4.615937444,3,3,20,5.557500000,5.815000000,5.657187500
strategyqa,qwen35,32976,1.300764192,0.727974971,1,1,6,1.306495633,1.301128093,1.294668850
strategyqa,gemma3,32976,1.121239689,0.361249777,1,1,6,1.120724163,1.124272198,1.118722707
strategyqa,gptoss20b,32976,1.360019408,0.899327515,1,1,6,1.352074236,1.362718341,1.365265648
